Namespace(model='mobileVitV2', dataset='imagenet_1k', sign_type='polyfit', data_collection=False, working_directory='/home/jianming/work/SmartPAF/cvnet_work/')
2024-01-22 08:13:17 - [93m[1mDEBUG   [0m - Cannot load internal arguments, skipping.
Results: loss=1.37407,	 top1=70.7000,	 top5=88.8000
polyfit
end point: 39.73949432373047
coef: tensor([[ 6.6081e-02, -1.5038e-04,  1.4726e-07, -4.7340e-11]],
       dtype=torch.float64)
name:  conv_1.block.act
conv_1.block.act_input.pt
Epoch:83 Train Loss:8752435256.8888893127 Val Loss: 8197575936.0000000000
Epoch:84 Train Loss:8756144696.8888893127 Val Loss: 8197160192.0000000000
Epoch:85 Train Loss:8759959352.8888893127 Val Loss: 8196833792.0000000000
Epoch:86 Train Loss:8763883832.8888893127 Val Loss: 8196602624.0000000000
Epoch:87 Train Loss:8767922346.6666660309 Val Loss: 8196472832.0000000000
Epoch:88 Train Loss:8772078563.5555553436 Val Loss: 8196454144.0000000000
Epoch:89 Train Loss:8776358200.8888893127 Val Loss: 8196552448.0000000000
Epoch:90 Train Loss:8780764700.4444446564 Val Loss: 8196776960.0000000000
Epoch:91 Train Loss:8785303779.5555553436 Val Loss: 8197137152.0000000000
Epoch:92 Train Loss:8789978453.3333339691 Val Loss: 8197640448.0000000000
Epoch:93 Train Loss:8794797681.7777786255 Val Loss: 8198300672.0000000000
Epoch:94 Train Loss:8799763968.0000000000 Val Loss: 8199124736.0000000000
Epoch:95 Train Loss:8804883057.7777786255 Val Loss: 8200124416.0000000000
Epoch:96 Train Loss:8810161948.4444446564 Val Loss: 8201316096.0000000000
Epoch:97 Train Loss:8815606129.7777786255 Val Loss: 8202710016.0000000000
Epoch:98 Train Loss:8821221745.7777786255 Val Loss: 8204320768.0000000000
Epoch:99 Train Loss:8827015452.4444446564 Val Loss: 8206163200.0000000000
Epoch:100 Train Loss:8832993621.3333339691 Val Loss: 8208252928.0000000000
save: CT_polyfit_Spolyfit_c7_40s/layer_1.0.block.conv_3x3.block.act_coef.pt


end point: 327.467529296875
coef: tensor([[ 8.2157e-03, -2.8078e-07,  4.0833e-12, -1.9422e-17]],
       dtype=torch.float64)
name:  layer_2.0.block.exp_1x1.block.act
layer_2.0.block.exp_1x1.block.act_input.pt
Epoch:1 Train Loss:90032657079282023226325073920.0000000000 Val Loss: 4490662538369977943551115264.0000000000
Epoch:2 Train Loss:29871838077064179433642917888.0000000000 Val Loss: 1535908008911745522167971840.0000000000
Epoch:3 Train Loss:11297268048806116698619904000.0000000000 Val Loss: 14926438339355354106691584.0000000000
Epoch:4 Train Loss:674098020131698909279944704.0000000000 Val Loss: 64226914285150083919904768.0000000000
Epoch:5 Train Loss:444167996547704749178224640.0000000000 Val Loss: 5322204448061229434404864.0000000000
Epoch:6 Train Loss:57109837305237635212509184.0000000000 Val Loss: 356274722489697283604480.0000000000
